Segment ID,Station ID,Station Description,Start Date,Start Time,Start Depth,End Date,End Time,End Depth,Submitting Entity,Collecting Entity,Monitoring Type,Composite Category,Composite Type,Parameter Name,Parameter Code,GTLT,Value,RFA/Tag ID,Station Latitude,Station Longitude,Comments
1433,12511,O H IVIE RESERVOIR NEAR DAM,,,,8/27/1991,11:40,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,,,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",94,,1465,Z164392,31.49726,-99.67473,
1433,12511,O H IVIE RESERVOIR NEAR DAM,,,,8/27/1991,11:40,1.52,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,,,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",94,,1467,Z164393,31.49726,-99.67473,
1433,12511,O H IVIE RESERVOIR NEAR DAM,,,,7/21/1992,11:33,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,,,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",94,,1184,745,31.49726,-99.67473,
1433,12511,O H IVIE RESERVOIR NEAR DAM,,,,7/21/1992,11:33,1.52,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,,,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",94,,1185,PF10532,31.49726,-99.67473,
1433,12511,O H IVIE RESERVOIR NEAR DAM,,,,8/30/1993,2:10,0.304878,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,,,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",94,,1353,2198,31.49726,-99.67473,
1433,12511,O H IVIE RESERVOIR NEAR DAM,,,,8/30/1993,2:10,1.52439,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,,,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",94,,1353,PR00733,31.49726,-99.67473,
1433,12511,O H IVIE RESERVOIR NEAR DAM,,,,9/15/1993,10:35,0.3,LOWER COLORADO RIVER AUTHORITY,DEFAULT CODE FOR UNKNOWN SOURCES,Routine - Monitoring not intentionally targeted toward any environmental condition or event,,,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",94,,1467,L044276,31.49726,-99.67473,
1433,12511,O H IVIE RESERVOIR NEAR DAM,,,,9/15/1993,10:35,1.52,LOWER COLORADO RIVER AUTHORITY,DEFAULT CODE FOR UNKNOWN SOURCES,Routine - Monitoring not intentionally targeted toward any environmental condition or event,,,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",94,,1464,L044277,31.49726,-99.67473,
1433,12511,O H IVIE RESERVOIR NEAR DAM,,,,8/25/1994,12:00,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,,,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",94,,1438,R161218,31.49726,-99.67473,
1433,12511,O H IVIE RESERVOIR NEAR DAM,,,,8/25/1995,12:00,1.52,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,,,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",94,,1438,PR03628,31.49726,-99.67473,
