date,,reservoir_storage,conservation_storage,percent_full,conservation_capacity,Population ,Storage_per_capita
1/1/1940,1940,627314,612112,70.2,871645,301958,2.027142848
1/2/1940,1940,626028,610826,70.1,871645,301969.1151,2.022809518
1/3/1940,1940.01,624742,609540,69.9,871645,301980.2301,2.018476507
1/4/1940,1940.01,623456,608254,69.8,871645,301991.3452,2.014143815
1/5/1940,1940.01,622170,606968,69.6,871645,302002.4603,2.009811441
1/6/1940,1940.01,620884,605682,69.5,871645,302013.5753,2.005479387
1/7/1940,1940.02,619598,604396,69.3,871645,302024.6904,2.001147652
1/8/1940,1940.02,618312,603110,69.2,871645,302035.8055,1.996816235
1/9/1940,1940.02,617026,601824,69,871645,302046.9205,1.992485137
1/10/1940,1940.02,615740,600538,68.9,871645,302058.0356,1.988154358
1/11/1940,1940.03,614454,599252,68.7,871645,302069.1507,1.983823898
1/12/1940,1940.03,613168,597966,68.6,871645,302080.2658,1.979493756
1/13/1940,1940.03,611882,596680,68.5,871645,302091.3808,1.975163933
1/14/1940,1940.04,610596,595394,68.3,871645,302102.4959,1.970834429
1/15/1940,1940.04,609310,594108,68.2,871645,302113.611,1.966505243
1/16/1940,1940.04,608023,592822,68,871645,302124.726,1.962176376
1/17/1940,1940.04,606737,591536,67.9,871645,302135.8411,1.957847827
1/18/1940,1940.05,605451,590250,67.7,871645,302146.9562,1.953519597
1/19/1940,1940.05,604165,588964,67.6,871645,302158.0712,1.949191685
1/20/1940,1940.05,602879,587678,67.4,871645,302169.1863,1.944864092
1/21/1940,1940.05,601593,586392,67.3,871645,302180.3014,1.940536816
1/22/1940,1940.06,600307,585106,67.1,871645,302191.4164,1.93620986
1/23/1940,1940.06,599021,583820,67,871645,302202.5315,1.931883221
1/24/1940,1940.06,597735,582534,66.8,871645,302213.6466,1.927556901
1/25/1940,1940.07,596449,581248,66.7,871645,302224.7616,1.923230899
1/26/1940,1940.07,595163,579962,66.5,871645,302235.8767,1.918905215
1/27/1940,1940.07,593877,578676,66.4,871645,302246.9918,1.914579849
1/28/1940,1940.07,592591,577390,66.2,871645,302258.1068,1.910254802
1/29/1940,1940.08,591305,576104,66.1,871645,302269.2219,1.905930072
1/30/1940,1940.08,590019,574818,65.9,871645,302280.337,1.901605661
1/31/1940,1940.08,588733,573532,65.8,871645,302291.4521,1.897281568
2/1/1940,1940.08,587774,572573,65.7,871645,302302.5671,1.89403949
2/2/1940,1940.09,586814,571613,65.6,871645,302313.6822,1.890794343
2/3/1940,1940.09,585855,570654,65.5,871645,302324.7973,1.887552742
2/4/1940,1940.09,584895,569694,65.4,871645,302335.9123,1.884308072
2/5/1940,1940.1,583936,568735,65.2,871645,302347.0274,1.881066948
2/6/1940,1940.1,582976,567775,65.1,871645,302358.1425,1.877822755
2/7/1940,1940.1,582017,566816,65,871645,302369.2575,1.874582107
2/8/1940,1940.1,581057,565856,64.9,871645,302380.3726,1.871338391
2/9/1940,1940.11,580098,564897,64.8,871645,302391.4877,1.86809822
2/10/1940,1940.11,579139,563938,64.7,871645,302402.6027,1.864858288
2/11/1940,1940.11,578179,562978,64.6,871645,302413.7178,1.861615287
2/12/1940,1940.12,577220,562019,64.5,871645,302424.8329,1.858375831
2/13/1940,1940.12,576260,561059,64.4,871645,302435.9479,1.855133306
2/14/1940,1940.12,575301,560100,64.3,871645,302447.063,1.851894326
2/15/1940,1940.12,574341,559140,64.1,871645,302458.1781,1.848652278
2/16/1940,1940.13,573382,558181,64,871645,302469.2932,1.845413775
2/17/1940,1940.13,572422,557221,63.9,871645,302480.4082,1.842172203
2/18/1940,1940.13,571463,556262,63.8,871645,302491.5233,1.838934176
2/19/1940,1940.13,570503,555302,63.7,871645,302502.6384,1.83569308
2/20/1940,1940.14,569544,554343,63.6,871645,302513.7534,1.832455529
2/21/1940,1940.14,568585,553384,63.5,871645,302524.8685,1.829218215
2/22/1940,1940.14,567625,552424,63.4,871645,302535.9836,1.825977834
2/23/1940,1940.15,566666,551465,63.3,871645,302547.0986,1.822740996
2/24/1940,1940.15,565706,550505,63.2,871645,302558.2137,1.819501091
2/25/1940,1940.15,564747,549546,63,871645,302569.3288,1.816264729
2/26/1940,1940.15,563787,548586,62.9,871645,302580.4438,1.8130253
2/27/1940,1940.16,562828,547627,62.8,871645,302591.5589,1.809789414
2/28/1940,1940.16,561868,546667,62.7,871645,302602.674,1.80655046
2/29/1940,1940.16,560909,545708,62.6,871645,302613.789,1.80331505
3/1/1940,1940.16,559096,543895,62.4,871645,302624.9041,1.797257901
3/2/1940,1940.17,557282,542081,62.2,871645,302636.0192,1.791197893
3/3/1940,1940.17,555469,540268,62,871645,302647.1342,1.785141635
3/4/1940,1940.17,553656,538455,61.8,871645,302658.2493,1.779085821
3/5/1940,1940.18,551843,536642,61.6,871645,302669.3644,1.773030452
3/6/1940,1940.18,550029,534828,61.4,871645,302680.4795,1.766972224
3/7/1940,1940.18,548216,533015,61.2,871645,302691.5945,1.760917745
3/8/1940,1940.18,546403,531202,60.9,871645,302702.7096,1.75486371
3/9/1940,1940.19,544590,529388,60.7,871645,302713.8247,1.748806816
3/10/1940,1940.19,542776,527575,60.5,871645,302724.9397,1.742753671
3/11/1940,1940.19,540963,525762,60.3,871645,302736.0548,1.73670097
3/12/1940,1940.19,539150,523949,60.1,871645,302747.1699,1.730648713
3/13/1940,1940.2,537337,522135,59.9,871645,302758.2849,1.724593598
3/14/1940,1940.2,535523,520322,59.7,871645,302769.4,1.71854223
3/15/1940,1940.2,533710,518509,59.5,871645,302780.5151,1.712491307
3/16/1940,1940.21,531897,516695,59.3,871645,302791.6301,1.706437525
3/17/1940,1940.21,530084,514882,59.1,871645,302802.7452,1.70038749
3/18/1940,1940.21,528270,513069,58.9,871645,302813.8603,1.6943379
3/19/1940,1940.21,526457,511255,58.7,871645,302824.9753,1.688285451
3/20/1940,1940.22,524644,509442,58.4,871645,302836.0904,1.682236748
3/21/1940,1940.22,522831,507629,58.2,871645,302847.2055,1.67618849
3/22/1940,1940.22,521017,505816,58,871645,302858.3205,1.670140675
3/23/1940,1940.22,519204,504002,57.8,871645,302869.4356,1.664090003
3/24/1940,1940.23,517391,502189,57.6,871645,302880.5507,1.658043076
3/25/1940,1940.23,515578,500376,57.4,871645,302891.6658,1.651996593
3/26/1940,1940.23,513764,498562,57.2,871645,302902.7808,1.645947253
